"","Enterprise.Value","EBIT","Earnings.before.Tax","Operating.Cash.Flow","EBITDA","Net.Income.Com","Net.Income","Consolidated.Income","Free.Cash.Flow","Gross.Profit","Income.Tax.Expense","Financing.Cash.Flow","Issuance..buybacks..of.shares","Dividend.payments","Stock.based.compensation","Operating.Expenses","Total.shareholders.equity","Revenue","Depreciation...Amortization","Feature.1","Feature.2","Feature.3","Feature.4"
"1",20205078950,1.021e+09,9.46e+08,1.087e+09,1.231e+09,3.16e+08,3.16e+08,3.16e+08,9.11e+08,2.687e+09,6.3e+08,-7.97e+08,-3.66e+08,-1.91e+08,7e+07,1.759e+09,4.567e+09,4.914e+09,2.1e+08,1.322312593,-0.3226217926,-0.1135368496,-1.16636014
"2",43904270777,2.94e+09,1.884e+09,3.533e+09,5.099e+09,1.412e+09,1.412e+09,1.412e+09,9.95e+08,2.4141e+10,4.72e+08,-1.672e+09,-8.37e+08,-1.86e+08,8.6e+07,2.1485e+10,-1.69e+08,4.4541e+10,2.159e+09,0.2149867415,-1.934115767,1.691741467,0.6841001511
"3",11627037994,611852000,555264000,811028000,850036000,423847000,423847000,423847000,619201000,4219413000,131417000,-263915000,-278154000,-17819000,27760000,3615138000,3550813000,9580554000,238184000,1.69224894,-2.307023287,0.8871960044,0.2911383212
"4",1.14583e+12,7.2903e+10,7.2903e+10,7.7434e+10,8.3806e+10,5.9531e+10,5.9531e+10,5.9531e+10,6.4121e+10,1.01839e+11,1.3372e+10,-8.7876e+10,-7.2069e+10,-1.3712e+10,5.34e+09,3.0941e+10,1.07147e+11,2.65595e+11,1.0903e+10,1.926322699,-0.2283466011,-0.07699194551,-1.013046503
"5",1.70923e+11,6.341e+09,5.197e+09,1.3427e+10,8.106e+09,5.687e+09,5.687e+09,5.687e+09,1.2789e+10,2.5035e+10,-4.9e+08,-1.4396e+10,-1.1941e+10,-5.58e+09,4.21e+08,1.8652e+10,-8.446e+09,3.2753e+10,1.765e+09,1.20543313,-0.4972319901,0.6669899821,-0.2909937799
"6",22245701997,1394635000,1219936000,1411388000,1713118000,1658405000,1658405000,1615892000,1074977000,4612317000,-438469000,-242873000,-500779000,-333041000,62316000,3168632000,2932824000,1.6794e+11,318483000,0.1419883072,-0.09284677356,0.419545114,-0.9359362721
"7",1.42516e+11,3.733e+09,2.907e+09,6.3e+09,7.011e+09,2.368e+09,2.368e+09,2.368e+09,4.906e+09,1.7872e+10,5.39e+08,-1.0391e+10,3.3e+07,-1.974e+09,4.77e+08,1.4222e+10,3.0722e+10,3.0578e+10,3.278e+09,-0.3744578362,-0.6757110953,1.216313958,-0.1115066633
"8",1.09029e+11,5672945000,5653406000,6026691000,6599721000,4059907000,4059907000,4214594000,5407504000,12493364000,1593499000,-3709028000,-1885948000,-1708724000,976908000,6594585000,10364753000,40992534000,926776000,3.329297066,-0.9671343565,-0.7940058708,-1.376684546
"9",1.23364e+11,2883118000,2793876000,4029304000,3229610000,2590774000,2590774000,2590774000,3762725000,7835009000,203102000,-5568000,-1859010000,0,609562000,4994640000,9362114000,9030008000,346492000,-0.9257280827,0.3737454116,0.9253681302,-0.7590430379
"10",37620934663,1892106000,1638517000,2442361000,2691169000,1495432000,1495432000,1495432000,2187485000,4233302000,143085000,-2358042000,-126950000,-703307000,151165000,2351567000,11268173000,6200942000,799063000,-0.9385458231,-0.3678407669,1.351242185,-0.201289922
"11",24848600044,2.419e+09,2.055e+09,-4.784e+09,3.36e+09,1.81e+09,1.81e+09,1.815e+09,-5.626e+09,4.181e+09,2.45e+08,1.87e+08,-7.7e+07,-7.58e+08,1.09e+08,2.336e+09,1.8996e+10,6.4341e+10,9.41e+08,1.606159329,-2.736975908,0.9503974915,0.3808734417
"12",59241240615,2385300000,2282600000,2515200000,2762900000,1884900000,1884900000,1884900000,2044800000,5516800000,397700000,-1655900000,-9.2e+08,-1063700000,175400000,2959400000,4735900000,13327700000,377600000,-1.512396097,0.7521420121,1.434407115,-0.4409009516
"13",918386181.8,1894300000,1223700000,2754900000,2381600000,963100000,963100000,963100000,2555100000,3570300000,260600000,-1217900000,-425600000,-125200000,80800000,1.676e+09,2332100000,7791200000,487300000,1.087991357,-0.8818132281,0.6695897579,-0.2796958983
"14",25730049960,-509100000,-557300000,9e+05,-400700000,-566900000,-566900000,-566900000,-49800000,1753200000,9600000,-656600000,-604600000,0,261400000,2262300000,-2.56e+08,2056600000,108400000,-0.4596833289,-1.964258552,1.893704295,0.7326030135
"15",24955414512,1.453e+09,1.052e+09,2.17e+09,2.391e+09,8.15e+08,8.15e+08,8.21e+08,-1.68e+08,2.312e+09,2.37e+08,2.05e+08,7.4e+07,-4.51e+08,2e+07,9.55e+08,7.631e+09,6.291e+09,9.38e+08,0.7016282082,-0.2818151116,0.2469286919,-0.9594659209
"16",61508453730,3023500000,2039100000,5223200000,5310100000,1923800000,1923800000,1931300000,-1087700000,5039900000,115300000,1161900000,73600000,-1255500000,0,2357200000,19028400000,16195700000,2286600000,-0.1528614908,-0.2772367001,0.6951594353,-0.7047929764
"17",27022821546,2.967e+09,1.911e+09,2.343e+09,3.97e+09,1.203e+09,1.203e+09,1.565e+09,2.22e+08,2.573e+09,7.08e+08,-1.643e+09,0,-3.44e+08,0,4.58e+08,3.208e+09,1.0736e+10,1.003e+09,1.084805131,-0.697286427,0.9075000882,-0.05171756074
"18",35972886958,4.205e+09,3.983e+09,6.014e+09,4.205e+09,2.92e+09,2.92e+09,2.92e+09,6.014e+09,9.758e+09,1.063e+09,-1.616e+09,-1.243e+09,-7.93e+08,0,5.553e+09,2.3462e+10,2.1758e+10,0,1.43462801,-0.01712188125,0.07681401819,-0.9590414762
"19",66972040344,-5955900000,-6867100000,5640100000,792700000,-5142800000,-5096400000,-5086200000,5.417e+09,1.3596e+10,-1770700000,-9680100000,-2.673e+09,-1049800000,239800000,19843600000,65114100000,15787400000,6748600000,-1.179868817,3.490352392,0.8524589539,-1.405496716
"20",56856996203,1.457e+09,1.48e+08,6.1e+07,6.819e+09,-6e+06,-6e+06,6.1e+07,6.1e+07,1.6223e+10,1.54e+08,7.94e+08,-1.739e+09,-1.138e+09,0,1.465e+10,5.6361e+10,4.7389e+10,5.362e+09,0.006787783466,-0.5090165138,1.349722624,0.1051426902
"21",10626162479,853834000,653200000,396388000,1231620000,656597000,666227000,716603000,514732000,643588000,-13027000,-588180000,-373593000,-237504000,8550000,427832000,1699419000,972410000,377786000,-0.9165484905,-0.844217658,1.51232481,0.05091589689
"22",5928903946,432200000,331900000,656700000,559100000,236800000,2.51e+08,252600000,5.74e+08,5.715e+09,80900000,1.838e+09,-139300000,-133800000,57100000,5281200000,5.112e+09,8057600000,126900000,-1.307196379,0.4581913948,1.331939101,-0.4175699949
"23",14908752400,575400000,4.37e+08,765100000,994400000,633500000,633500000,675900000,640700000,4214300000,-196500000,1.62e+08,70600000,-301800000,55300000,3445300000,4498900000,6.934e+09,4.19e+08,-0.5528431535,-0.3276839852,1.303692222,-0.1334155351
"24",9616383868,386291000,343089000,1008327000,820811000,298373000,298373000,298373000,602586000,1760989000,44716000,233608000,-567447000,0,183813000,1398490000,3191860000,2714474000,434520000,0.04270458966,0.5731273293,-0.07893763483,-1.640612602
"25",9335177557,890793000,838388000,546165000,1091491000,693562000,693562000,739139000,-153826000,1217256000,144826000,-786526000,-496367000,-144596000,15228000,516144000,3585321000,3374950000,200698000,2.221940517,-1.534243822,-0.544334352,-1.282515883
"26",16015769913,457958000,457958000,554681000,512685000,400235000,400235000,400235000,331369000,1447867000,57723000,-369434000,-283367000,0,70763000,981303000,1252891000,1966492000,54727000,0.9116675258,-2.324282408,1.414755821,0.6302238107
"27",8369798611,6.76e+08,5.85e+08,1.195e+09,1.074e+09,4.37e+08,4.37e+08,4.37e+08,2.35e+08,4.415e+09,1.48e+08,-6.47e+08,-5e+07,-1.58e+08,4.7e+07,3.772e+09,3.751e+09,8.264e+09,3.98e+08,-1.153128505,-0.1548604667,1.11863327,-0.5511098504
"28",31386264770,3.076e+09,2.744e+09,5.175e+09,3.587e+09,2.104e+09,2.252e+09,2.252e+09,4.898e+09,1.4349e+10,4.92e+08,-3.574e+09,-2.23e+09,-6.14e+08,0,5.41e+09,2.1312e+10,3.9815e+10,5.11e+08,1.662513375,-0.7091793418,-0.3780032992,-1.327523232
"29",8731094869,528700000,474700000,457800000,614900000,434900000,434900000,435400000,408900000,1173300000,39800000,-183400000,-64100000,-79400000,19600000,647500000,6.51e+08,2731700000,86200000,-0.3900731206,2.491349459,0.1432994455,-1.802623034
"30",23363388092,340400000,242200000,4.26e+08,745700000,77600000,77600000,77600000,2.13e+08,3756900000,164600000,-102400000,-37700000,0,2.03e+08,3370800000,9165300000,4131200000,405300000,-0.6689810157,-0.4557274878,0.9554166198,-0.5318328142
"31",31869665014,4.928e+09,4.694e+09,3.787e+09,5.385e+09,3.313e+09,3.313e+09,3.313e+09,3.165e+09,7.817e+09,1.381e+09,-5.928e+09,-5.159e+09,-6.05e+08,2.58e+08,3.021e+09,6.845e+09,1.7253e+10,4.57e+08,4.161217213,-0.9514482021,-0.8662320971,-1.310514569
"32",18543057207,4.49e+08,3.28e+08,3.4e+07,6.19e+08,3.37e+08,3.37e+08,3.37e+08,-1.29e+08,2.447e+09,-9e+06,2.8e+07,7e+07,0,1.37e+08,1.996e+09,1.266e+09,6.475e+09,1.7e+08,0.8549079895,-0.6017428637,0.8857728243,-0.1308104694
"33",17992989304,1069925000,987745000,925518000,1269415000,777933000,777933000,777933000,846012000,1659562000,209812000,13040000,-337657000,-128911000,27315000,584022000,4241922000,4845872000,199490000,-2.586739302,0.5590302348,1.721455455,-0.4389855862
"34",6277245914,505500000,424900000,1140600000,527500000,243600000,243600000,532300000,1121900000,2378400000,181300000,-983100000,-496100000,-64400000,101100000,1611400000,3457400000,2378400000,2.2e+07,2.444628477,-0.3059120178,-0.524006784,-1.382672668
"35",1.28672e+11,1.0937e+10,9.545e+09,1.1296e+10,1.2883e+10,8.394e+09,8.394e+09,8.394e+09,1.0558e+10,1.9646e+10,1.151e+09,-2.249e+10,-1.7794e+10,-3.507e+09,3.11e+08,9.383e+09,1.25e+10,2.3747e+10,1.946e+09,0.3697056174,-0.9592758417,0.4469305873,-0.7468941212
"36",13348623815,3.403e+09,2.484e+09,2.597e+09,3.601e+09,2.098e+09,2.098e+09,2.098e+09,2.435e+09,1.0533e+10,3.86e+08,-1.263e+09,-1.628e+09,-5.06e+08,1.44e+08,7.13e+09,5.588e+09,1.2835e+10,1.98e+08,-1.33850944,3.380372763,1.021275043,-1.298984885
"37",89535774732,1951700000,1126300000,3748300000,4062500000,1.227e+09,1236400000,1264700000,2835100000,5262300000,-110100000,-607700000,-133900000,-1323500000,137500000,3357300000,5336100000,7440100000,2110800000,1.751856089,-0.7373570204,-0.4646844268,-1.410367489
"38",7.26311e+11,1.2687e+10,1.127e+10,3.0723e+10,2.8028e+10,1.0073e+10,1.0073e+10,1.0073e+10,1.94e+10,9.3731e+10,1.197e+09,-7.686e+09,0,0,5.418e+09,8.131e+10,4.3549e+10,2.32887e+11,1.5341e+10,0.3740850389,-2.200248003,1.473700285,0.5210971832
"39",11166704973,487085000,487085000,486437000,546340000,419375000,419375000,419375000,464675000,1137751000,67710000,-262675000,-228782000,0,83346000,661177000,2649547000,1293636000,59255000,0.6320668459,-1.740436792,1.143773675,0.2365680635
"40",64998173410,5.821e+09,5.068e+09,3.827e+09,6.953e+09,3.75e+09,3.75e+09,3.75e+09,2.619e+09,2.021e+10,1.318e+09,-2.241e+09,-2.62e+08,-7.76e+08,2.26e+08,1.4378e+10,2.8541e+10,9.2105e+10,1.132e+09,0.93739748,-0.39548558,0.6506345868,-0.4069021344
"41",40425100411,1.558e+09,1.28e+09,1.686e+09,2.327e+09,1.134e+09,1.134e+09,1.174e+09,1.446e+09,1.077e+10,1.46e+08,-1.699e+09,-1.47e+09,-3.82e+08,3.38e+08,9.226e+09,4.151e+09,1.077e+10,7.69e+08,0.8591332436,1.352063298,0.3597195148,-1.038332462
"42",6833305437,566200000,557800000,448900000,638100000,444200000,444200000,444200000,363700000,1305500000,113600000,-523100000,-201700000,-130100000,10100000,760500000,1.717e+09,3187900000,71900000,0.5095832348,0.286456883,-0.0465871878,-1.40731144
"43",17493020603,1.19e+09,7.12e+08,3.777e+09,3.595e+09,4e+07,4e+07,2.86e+08,1.1e+07,2.438e+09,6.72e+08,-7.87e+08,-3.05e+08,-3.82e+08,0,1.078e+09,7.13e+09,7.348e+09,2.405e+09,2.666809559,-0.5556017756,-0.4155711532,-1.167219043
"44",37987938997,2152600000,2022100000,2554700000,3123300000,1497800000,1497800000,1532900000,986300000,2740700000,524300000,-1359800000,76200000,-897800000,38800000,775100000,10857500000,8930200000,970700000,1.546167731,-0.008342020214,-0.1655355543,-1.252779722
"45",26692524721,1678200000,1576500000,1112700000,1977900000,1.205e+09,1.205e+09,1216900000,807100000,2654900000,371500000,-1070100000,-804500000,-253700000,55600000,9.68e+08,4.017e+09,8.202e+09,299700000,0.2979237735,-0.5383532047,0.8093177676,-0.4165627658
"46",19997988957,1.458e+09,1.317e+09,1.628e+09,2.134e+09,1.067e+09,1.067e+09,1.107e+09,7.82e+08,2.729e+09,2.5e+08,-5.55e+08,-4.99e+08,-2.33e+08,5.8e+07,1.256e+09,3.459e+09,1.4435e+10,6.76e+08,-0.05763128772,-0.1768005341,0.6758162379,-0.7062535882
"47",17597490499,536807000,379312000,570339000,1014468000,363983000,379312000,402793000,-356829000,946339000,0,1588433000,1293301000,-380632000,35019000,574377000,7341965000,1327459000,477661000,-0.6238895655,-0.5073097944,1.15108192,-0.301897347
"48",12200466358,1.246e+09,8.68e+08,2.17e+08,1.822e+09,6.42e+08,6.42e+08,6.42e+08,-5.51e+08,2.617e+09,2.26e+08,-6.49e+08,1.6e+07,-1.19e+08,5e+07,1.292e+09,5.573e+09,1.4014e+10,5.76e+08,-0.9566572905,-1.055786967,1.447567582,-0.004627488554
"49",33981271937,1.948e+09,1.877e+09,1.79e+09,2.457e+09,1.813e+09,1.813e+09,1.813e+09,1.659e+09,4.983e+09,6.4e+07,-2.02e+09,9.9e+07,-2.59e+08,2.09e+08,2.995e+09,1.1392e+10,7.5e+09,5.09e+08,2.482999325,-0.7018250823,-0.2221205682,-0.9393137693
"50",30880036786,1195339000,974365000,1301111000,1826535000,974525000,974525000,974175000,-264395000,1513975000,-160000,-688502000,52261000,-805239000,20280000,692085000,10632606000,2284535000,631196000,0.6049746275,-0.2643284798,0.1084886193,-1.143962741
"51",1.04196e+11,4.803e+09,4.175e+09,8.88e+09,8.884e+09,1.2259e+10,1.2259e+10,1.261e+10,8.484e+09,1.0733e+10,-8.084e+09,-1.1118e+10,-7.102e+09,-2.998e+09,1.227e+09,5.598e+09,2.6657e+10,2.0848e+10,4.081e+09,1.118478179,-0.2380068004,0.2220426947,-0.8829268813
"52",9523381578,611300000,552800000,457900000,792300000,467400000,467400000,467400000,210700000,1915500000,85400000,-208100000,-392900000,-1.75e+08,34300000,1127500000,955100000,7.159e+09,1.81e+08,-1.85407865,0.09798064828,1.826925397,-0.02769181505
"53",24845952531,1.416e+09,1.066e+09,1.386e+09,1.961e+09,5.67e+08,5.67e+08,5.65e+08,-2.87e+08,1.961e+09,4.99e+08,7.26e+08,1.54e+08,-3.19e+08,0,5.82e+08,5.864e+09,3.44e+09,5.45e+08,2.88381958,0.6190600991,-0.7993429303,-1.759228706
"54",1.15442e+11,8.122e+09,8.122e+09,8.93e+09,9.415e+09,6.921e+09,6.921e+09,6.921e+09,7.62e+09,3.6986e+10,1.201e+09,5.101e+09,-1.598e+09,-1.324e+09,2.83e+08,2.8864e+10,2.229e+10,3.6986e+10,1.293e+09,-1.273243427,0.3340659738,1.60150218,-0.1241264418
"55",6368967555,459400000,425900000,351500000,539700000,349600000,349600000,349600000,307900000,1485400000,76300000,-326700000,-296700000,-21400000,32300000,1024600000,1716800000,3680100000,80300000,-0.8623735309,-0.397683233,1.372729182,-0.1458292902
"56",25089444634,1810856000,1636329000,2080292000,2155940000,1337536000,1337536000,1337536000,1558045000,5973746000,298793000,-1632154000,-1502298000,0,43674000,4162890000,-1520355000,11221077000,345084000,0.9255580306,-1.119005919,0.9492434263,0.009518110193
"57",1.88426e+11,1.2079e+10,1.1604e+10,1.5322e+10,1.4193e+10,1.046e+10,1.046e+10,1.046e+10,1.372e+10,1.9637e+10,1.144e+09,-1.1722e+10,-8.919e+09,-3.946e+09,2.02e+08,7.725e+09,3.39e+08,1.01127e+11,2.114e+09,-0.7873858809,0.1855687201,0.9605734348,-0.6495876312
"58",-33341189271,3.4584e+10,3.4584e+10,3.952e+10,3.6647e+10,2.6696e+10,2.8147e+10,2.8147e+10,3.952e+10,9.1247e+10,6.437e+09,5.3118e+10,-2.0094e+10,-6.895e+09,1.729e+09,5.3381e+10,2.65325e+11,9.1247e+10,2.063e+09,0.2293945402,-0.630379498,0.8030152917,-0.403806895
"59",36670520488,1.732e+09,1.687e+09,2.096e+09,2.517e+09,1.624e+09,1.624e+09,1.624e+09,1.415e+09,4.781e+09,6.3e+07,-2.603e+09,-2.194e+09,-3.76e+08,1.15e+08,3.182e+09,7.794e+09,1.1127e+10,7.85e+08,1.022938848,-0.6627437472,0.3465251923,-0.6792545319
"60",58283247483,4.04e+09,4.04e+09,4.349e+09,4.595e+09,3.063e+09,3.237e+09,3.257e+09,4.349e+09,1.0992e+10,8.03e+08,1.502e+09,-1.205e+09,-1.204e+09,1.41e+08,6.932e+09,3.0178e+10,1.0992e+10,5.55e+08,4.642396927,0.7916874886,-0.5561760664,-1.215001464
"61",18106048326,1.893e+09,1.818e+09,2.141e+09,2.576e+09,1e+09,1e+09,1e+09,1.453e+09,9.876e+09,8.18e+08,-2.297e+09,-1.841e+09,-4.09e+08,1.29e+08,8.033e+09,3.612e+09,4.2151e+10,6.83e+08,-1.380149245,-0.5590786338,1.521769524,-0.1135332659
"62",90980457694,1.879e+09,1.173e+09,2.865e+09,3.857e+09,1.59e+08,3.11e+08,3.11e+08,1.97e+09,7.262e+09,8.62e+08,-5.8e+07,0,-9.27e+08,4e+08,5.765e+09,2.0994e+10,1.5983e+10,1.978e+09,0.01465546153,-0.02197850309,0.8031156063,-0.5617792606
"63",9887906134,2285600000,2236900000,2229700000,2442700000,764400000,764400000,742700000,2123200000,6319100000,1472500000,-3761700000,-1.4e+09,-2116900000,117800000,4200500000,9899200000,6319100000,157100000,-1.360857487,-0.6172862649,1.3073107,-0.3520354331
"64",3432965551,9.84e+08,9.84e+08,3.062e+09,1.002e+09,8.65e+08,8.65e+08,8.7e+08,3.062e+09,4.614e+09,1.19e+08,3.764e+09,-1.05e+08,0,0,3.625e+09,1.4418e+10,8.965e+09,1.8e+07,-2.738532305,0.8623117208,1.707523584,-0.5715435743
"65",63028642487,5856300000,5856300000,6187700000,6872900000,4430700000,4430700000,4.474e+09,5414100000,11636600000,1425600000,-4.472e+09,-4352600000,0,157500000,5.748e+09,13039600000,13452900000,1016600000,1.039694786,-1.333937049,0.7001594901,-0.2031293362
"66",-72628243310,5.204e+09,5.204e+09,5.996e+09,6.543e+09,4.097e+09,4.266e+09,4.254e+09,4.911e+09,1.6392e+10,9.38e+08,-8.098e+09,-3.149e+09,-1.052e+09,0,1.1211e+10,4.0638e+10,1.6392e+10,1.339e+09,0.08142146468,-0.6168875694,0.394452095,-0.9176131487
"67",60527540579,5.565e+09,5.381e+09,3.075e+09,5.785e+09,4.305e+09,4.305e+09,4.302e+09,2.871e+09,1.1525e+10,1.076e+09,-2.765e+09,-2.087e+09,-1.968e+09,5.64e+08,6.068e+09,3.2374e+10,1.4198e+10,2.2e+08,3.033363819,1.130478978,0.1566740572,-0.6452487111
"68",21604011698,9.41e+08,6.39e+08,1.566e+09,1.643e+09,4.54e+08,4.54e+08,4.53e+08,7.5e+08,2.306e+09,1.85e+08,-1.04e+09,-7.11e+08,-1.37e+08,0,1.371e+09,3.458e+09,1.1635e+10,7.02e+08,1.436358333,0.977627635,0.3962677717,-0.7880704403
"69",83306692273,5.941e+09,5.941e+09,5.94e+09,6.578e+09,4.92e+09,4.92e+09,4.947e+09,4.989e+09,1.6014e+10,1.021e+09,-3.535e+09,-3.2e+08,-2.613e+09,2.21e+08,1.0046e+10,1.4031e+10,2.2561e+10,6.37e+08,1.863824129,-0.157234773,-0.1575145572,-1.140286922
"70",55813519601,1.663e+09,1.422e+09,3.1e+08,2.557e+09,1.671e+09,1.671e+09,1.671e+09,8e+06,7.01e+09,-2.49e+08,1.432e+09,4.5e+07,0,1.4e+08,5.504e+09,8.726e+09,9.823e+09,8.94e+08,1.623255014,-0.6711801291,0.1764878631,-0.7223693728
"71",8610394154,1200700000,1.142e+09,1126500000,1.632e+09,930700000,930700000,984600000,579900000,2229400000,211300000,-383400000,-1.5e+08,-141500000,52900000,1039500000,4.226e+09,10529600000,431300000,1.415440917,-0.5590118766,0.3695001602,-0.5667194724
"72",27750844275,961015000,582847000,1150245000,1606664000,582847000,582847000,712563000,42034000,1704062000,0,82453000,-730000,-587628000,40117000,778565000,5883171000,2717076000,645649000,-1.845268011,3.415465593,1.224173665,-1.250861406
"73",-26790357515,2.3402e+10,2.3402e+10,3.6952e+10,2.7156e+10,1.8045e+10,1.8045e+10,1.808e+10,3.339e+10,6.5286e+10,5.357e+09,4.4528e+10,-1.4433e+10,-5.02e+09,0,4.1841e+10,1.9622e+11,7.2854e+10,3.754e+09,2.782934904,-0.4980864227,-0.3091830015,-0.9761818647
"74",52925693519.2237,1.119e+09,1.021e+09,1.198e+09,1.497e+09,4.76e+08,4.76e+08,4.76e+08,1.15e+09,3.635e+09,5.45e+08,-6.8e+08,-1.63e+08,-996305764.453961,1.2e+08,2.487e+09,5.895e+09,4.235e+09,3.78e+08,0.2625180185,-1.702405095,1.345121264,0.3335800171
"75",18389692667,1141700000,9.83e+08,954200000,1398700000,808400000,808400000,811800000,710600000,2351500000,174600000,-506900000,-967300000,-342300000,37900000,1.318e+09,3676200000,7938300000,2.57e+08,1.981976509,-0.2536195219,-0.0285382811,-0.9227935672
"76",22520170158,9.8e+07,-2.31e+08,2.768e+09,1.13e+09,2.56e+08,2.56e+08,2.59e+08,2.384e+09,7.181e+09,-4.87e+08,-2.276e+09,-5.5e+08,-5.81e+08,8.5e+07,7.078e+09,6.059e+09,1.36809e+11,1.032e+09,-1.099414468,-0.7777886391,1.712587237,0.1795684248
"77",1.03681e+11,8.249e+09,7.845e+09,6.558e+09,1.1015e+10,6.147e+09,6.147e+09,6.148e+09,4.578e+09,1.7003e+10,1.698e+09,-3.65e+09,-3.485e+09,-1.951e+09,0,8.71e+09,1.408e+10,5.4722e+10,2.766e+09,-0.8658227324,0.6429457664,0.7859306931,-0.9337725639
"78",69492837955,5.298e+09,4.657e+09,5.48e+09,5.637e+09,3.962e+09,3.962e+09,3.962e+09,5.48e+09,1.406e+10,6.95e+08,-1.991e+09,-9.29e+08,-1.337e+09,0,8.762e+09,5.0312e+10,3.2717e+10,3.39e+08,-1.605692506,0.2107294649,1.504481077,-0.3175646663
"79",11881313344,610700000,572500000,534700000,814700000,422100000,426500000,425200000,498400000,1216900000,1.46e+08,-371600000,-159700000,-130300000,35100000,617500000,3.241e+09,2768800000,2.04e+08,-1.652157545,0.670894444,-0.2089866251,-2.328542709
"80",26181188024,2.7e+09,2.233e+09,1.426e+09,2.923e+09,1.96e+09,1.96e+09,1.96e+09,1.261e+09,5.403e+09,2.73e+08,-9.21e+08,-5.59e+08,-2.76e+08,1.46e+08,2.704e+09,2.804e+09,1.4514e+10,2.23e+08,4.397516251,1.108609676,0.04080044851,-0.5059677362
"81",61339203514,1.332e+09,6.9e+08,2.502e+09,2.86e+09,5.58e+08,6.71e+08,6.71e+08,7.61e+08,3.576e+09,1.9e+07,-7.33e+08,8.07e+08,-1.782e+09,1.03e+08,2.144e+09,1.2034e+10,5.423e+09,1.528e+09,1.064278245,-0.749337852,0.9362137914,-0.00952841714
"82",53061781457,3.4e+09,3.206e+09,5.549e+09,5.417e+09,3.152e+09,3.152e+09,3.152e+09,2.189e+09,7.792e+09,5.4e+07,-1.46e+09,-1.468e+09,-1.355e+09,6.5e+07,4.467e+09,2.4443e+10,1.8881e+10,2.017e+09,-0.3841905296,-0.2470330298,1.406348586,0.02852082998
"83",12179527160,399529000,376390000,604751000,518250000,345777000,345777000,345777000,543248000,1879275000,30613000,-567939000,-209151000,0,167715000,1483066000,1288401000,2138022000,118721000,-1.269181371,0.5232101083,1.006512165,-0.7923105359
"84",59043050426,5.573e+09,4.832e+09,5.171e+09,6.208e+09,4.046e+09,4.046e+09,4.046e+09,4.841e+09,1.4694e+10,7.86e+08,-1.54e+09,-5.952e+09,0,9.54e+08,9.503e+09,6.161e+09,1.5281e+10,6.35e+08,-1.704765797,4.251582146,1.139734626,-1.455477118
"85",16946670613,800851000,800851000,1454009000,1443442000,630059000,630059000,630059000,733388000,4428977000,170792000,-609787000,-531778000,0,95423000,3654192000,4928389000,5366325000,642591000,-2.379868507,3.240231514,1.375938654,-1.201068997
"86",14057736468,6.5e+08,4.09e+08,1.497e+09,1.538e+09,2.9e+08,2.9e+08,4.28e+08,1.101e+09,9.17e+08,1.19e+08,-1.27e+09,-4.55e+08,-2.8e+08,2.2e+07,1.87e+08,2.958e+09,4.429e+09,8.88e+08,-1.996813416,0.7219289541,1.297640204,-0.7239540815
"87",26783025365,2.154e+09,2.154e+09,1.767e+09,2.643e+09,1.692e+09,1.692e+09,1.721e+09,1.298e+09,5.802e+09,4.62e+08,6.352e+09,-1.025e+09,-4.71e+08,4.1e+07,3.619e+09,2.0817e+10,5.802e+09,4.89e+08,-1.072816014,2.830385208,0.837926805,-1.301480651
"88",17982663273,798900000,719500000,763600000,9.4e+08,568600000,568600000,568600000,703200000,1840800000,150900000,-6.09e+08,-123400000,-213300000,23300000,1049100000,2453800000,4145900000,141100000,-1.671401143,-0.6603364944,1.726073027,0.03001771308
"89",9636791206,1.35e+09,8.63e+08,2e+09,2.495e+09,7.75e+08,8.73e+08,8.77e+08,2.111e+09,3.012e+09,-1e+07,-2.186e+09,0,0,3.2e+07,2.13e+09,2.092e+09,1.0231e+10,1.145e+09,-0.2565850616,-1.493697643,1.27218473,0.05964889377
"90",12622565407,912083000,880273000,792896000,1008812000,664505000,664505000,664505000,729025000,2705235000,215768000,-655177000,-249706000,-265219000,77403000,1793152000,1595087000,16631172000,96729000,4.731361866,1.034373283,-0.418795526,-1.037296772
"91",1.37297e+11,4.95e+09,1.41e+09,1.1767e+10,1.5268e+10,1.23e+09,1.23e+09,1.506e+09,2.172e+09,4.3634e+10,1.8e+08,-1.887e+09,-4.33e+09,0,2.9e+08,3.8298e+10,3.6285e+10,4.3634e+10,1.0318e+10,0.9357200265,-0.3973374665,0.4562212527,-0.6113462448
"92",82830027609,4.07e+09,3.572e+09,3.77e+09,4.765e+09,2.637e+09,2.637e+09,2.646e+09,3.242e+09,1.6329e+10,9.35e+08,2.3515e+10,-2.74e+08,0,0,1.2169e+10,4.1028e+10,4.865e+10,6.95e+08,-0.1483391523,-0.8846720457,1.171769619,-0.09798585624
"93",12681153121,3.04e+08,2.51e+08,1.181e+09,3.67e+08,2.87e+08,2.87e+08,2.87e+08,1.161e+09,1.917e+09,-3.6e+07,-6.03e+08,-1.16e+08,-3.36e+08,2.8e+07,1.613e+09,7.833e+09,5.407e+09,6.3e+07,-0.4305259585,-0.1183003113,1.472086668,0.06785329431
